Season,FL,TL ,lbs,kg
Winter,870,930,19.2,8.7
Winter,808,869,16.8,7.6
Winter,780,859,16.3,7.4
Winter,845,910,16.1,7.3
Winter,803,881,15.7,7.1
Winter,825,870,15.4,7.0
Winter,795,870,14.3,6.5
Winter,770,850,13.2,6.0
Winter,744,813,13.2,6.0
Winter,751,810,12.1,5.5
Winter,760,821,11.9,5.4
Winter,757,828,11.8,5.4
Winter,733,794,11.8,5.4
Winter,795,863,11.5,5.2
Winter,740,810,11.4,5.2
Winter,804,870,11.3,5.1
Winter,737,801,11.1,5.0
Winter,802,869,11.0,5.0
Winter,720,791,11.0,5.0
Winter,765,832,10.8,4.9
Winter,745,805,10.8,4.9
Winter,760,825,10.7,4.9
Winter,752,820,10.6,4.8
Winter,650,761,10.0,4.5
Winter,740,790,9.9,4.5
Winter,730,794,9.8,4.4
Winter,715,778,9.6,4.4
Winter,685,750,9.5,4.3
Winter,718,777,9.5,4.3
Winter,715,780,9.5,4.3
Winter,721,786,9.3,4.2
Winter,698,756,9.3,4.2
Winter,720,780,9.2,4.2
Winter,723,785,8.9,4.0
Winter,736,795,8.8,4.0
Winter,683,751,8.6,3.9
Winter,723,781,8.5,3.9
Winter,675,740,8.4,3.8
Winter,682,741,8.4,3.8
Winter,688,757,7.9,3.6
Winter,676,736,7.8,3.5
Winter,698,752,7.7,3.5
Winter,693,760,7.5,3.4
Winter,671,742,7.3,3.3
Winter,670,737,7.1,3.2
Winter,787,823,7.1,3.2
Winter,640,692,7.1,3.2
Winter,665,710,6.8,3.1
Winter,671,734,6.8,3.1
Winter,642,695,6.8,3.1
Winter,655,710,6.4,2.9
Winter,650,673,6.2,2.8
Winter,585,632,6.0,2.7
Winter,610,658,6.0,2.7
Winter,635,697,5.8,2.6
Winter,630,685,5.3,2.4
Winter,624,688,5.1,2.3
Winter,667,721,5.1,2.3
Winter,625,691,5.1,2.3
Winter,570,630,5.1,2.3
Winter,607,653,5.1,2.3
Winter,616,675,5.1,2.3
Winter,550,605,4.9,2.2
Winter,643,706,4.8,2.2
Winter,634,689,4.7,2.1
Winter,623,677,4.6,2.1
Winter,579,636,4.5,2.0
Winter,527,574,4.4,2.0
Winter,562,620,4.4,2.0
Winter,592,644,4.4,2.0
Winter,555,607,4.3,2.0
Winter,605,656,4.3,2.0
Winter,559,623,4.2,1.9
Winter,628,690,4.0,1.8
Winter,551,607,4.0,1.8
Winter,571,618,4.0,1.8
Winter,588,635,3.9,1.8
Winter,560,621,3.7,1.7
Winter,573,625,3.7,1.7
Winter,576,629,3.7,1.7
Winter,560,610,3.7,1.7
Winter,575,635,3.7,1.7
Winter,615,553,3.5,1.6
Winter,545,598,3.4,1.5
Winter,521,578,3.3,1.5
Winter,537,575,3.3,1.5
Winter,539,580,3.3,1.5
Winter,513,562,3.1,1.4
Winter,516,562,2.9,1.3
Winter,530,580,2.9,1.3
Winter,493,540,2.9,1.3
Winter,490,540,2.8,1.3
Winter,570,558,2.7,1.2
Winter,576,633,2.6,1.2
Winter,483,531,2.6,1.2
Winter,515,563,2.6,1.2
Winter,540,590,2.6,1.2
Winter,475,516,2.5,1.1
Winter,519,565,2.4,1.1
Winter,520,571,2.4,1.1
Winter,489,538,2.3,1.0
Winter,485,541,2.3,1.0
Winter,508,563,2.2,1.0
Winter,470,510,2.1,1.0
Winter,464,510,1.9,0.9
Winter,445,495,1.9,0.9
Winter,499,552,1.8,0.8
Winter,461,509,1.7,0.8
