Unique,Date,Time,Crew,Lat,Long,Gear,Bait,Technique,FL,TL ,lbs,kg,,,,,,,,
1,3/22/2024,12:08,CS MA,62.33766,146.02914,"Tube 6""",Y,Deadstick,539,580,3.3,1.5,,,,,,,,
2,3/22/2024,15:15,CS MA,62.2999,146.00482,Crankbait,N,Jigging,635,697,5.8,2.6,,,,,,,,
3,3/22/2024,15:30,CS MA,62.2999,146.00482,"Tube 5""",Y,Jigging,490,540,2.8,1.3,,,,,,,,
4,3/22/2024,15:45,CS MA,62.2999,146.00482,"Tube 5""",Y,Deadstick,675,740,8.4,3.8,,,,,,,,
5,3/22/2024,17:05,CS MA,62.3002,146.0069,"Tube 4""",Y,Deadstick,765,832,10.8,4.9,,,,,,,,
6,3/22/2024,17:09,CS MA,62.2999,146.00482,"Tube 6""",Y,Deadstick,845,910,16.1,7.3,,,,,,,,
7,3/22/2024,18:20,CS MA,62.2999,146.00482,"Tube 4""",Y,Deadstick,730,794,9.8,4.4,,,,,,,,
8,3/23/2024,10:15,CS MA,62.3002,146.0069,"Tube 4""",Y,Deadstick,723,781,8.5,3.9,,,,,,,,
9,3/23/2024,10:35,CS MA,62.3002,146.0069,"Tube 4""",Y,Deadstick,550,605,4.9,2.2,,,,,,,,
10,3/23/2024,12:15,CS MA,62.3002,146.0069,"Tube 6""",Y,Deadstick,745,805,10.8,4.9,,,,,,,,
11,3/23/2024,12:35,CS MA,62.3002,146.0069,"Tube 4""",Y,Deadstick,744,813,13.2,6.0,,,,,,,,
12,3/23/2024,16:37,CS MA,62.299,146.0247,"Tube 6""",Y,Deadstick,757,828,11.8,5.4,,,,,,,,
13,3/23/2024,17:54,CS MA,62.299,146.0247,"Tube 4""",Y,Jigging,643,706,4.8,2.2,,,,,,,,
14,3/23/2024,19:00,CS MA,62.299,146.0247,"Tube 6""",Y,Deadstick,804,870,11.3,5.1,,,,,,,,
15,3/24/2024,10:15,CS MA,62.388,146.0439,"Twister 3"", 3/8 oz",Y,Deadstick,475,516,2.5,1.1,,,,,,,,
16,3/24/2024,10:20,CS MA,62.388,146.0439,Spoon 3/4 oz LC,Y,Jigging,483,531,2.6,1.2,,,,,,,,
17,3/24/2024,13:00,CS MA,62.382,146.0155,"Tube 6""",Y,Deadstick,470,510,2.1,1.0,,,,,,,,
18,3/24/2024,15:25,CS MA,62.335,146.0515,Crankbait,N,Jigging,515,563,2.6,1.2,,,,,,,,
19,3/24/2024,9:35,CS MA,62.301,146.044,"Tube 6""",Y,Deadstick,825,870,15.4,7.0,,,,,,,,
20,3/26/2024,9:55,CS MA,62.301,146.044,"Tube 6""",Y,Deadstick,615,553,3.5,1.6,,,,,,,,
21,3/26/2024,10:40,CS MA,62.301,146.044,"Tube 6""",Y,Deadstick,671,742,7.3,3.3,,,,,,,,
22,3/26/2024,11:00,CS MA,62.301,146.044,"Tube 6""",Y,Deadstick,808,869,16.8,7.6,,,,,,,,
23,3/26/2024,11:45,CS MA,62.301,146.044,"Tube 6""",Y,Deadstick,870,930,19.2,8.7,,,,,,,,
24,3/26/2024,12:00,CS MA,62.301,146.0425,"Tube 5""",Y,Deadstick,736,795,8.8,4.0,,,,,,,,
25,3/26/2024,12:10,CS MA,62.302,146.042,"Tube 4""",Y,Deadstick,720,791,11.0,5.0,,,,,,,,
26,3/26/2024,12:50,CS MA,62.302,146.042,"Tube 4""",Y,Deadstick,634,689,4.7,2.1,,,,,,,,
27,3/26/2024,13:00,CS MA,62.302,146.042,"Tube 4""",Y,Deadstick,721,786,9.3,4.2,,,,,,,,
28,3/26/2024,13:30,CS MA,62.302,146.042,"Tube 4""",Y,Deadstick,751,810,12.1,5.5,,,,,,,,
29,3/26/2024,16:30,CS MA,62.395,146.0314,glo jig 1/2 oz,Y,Jigging,562,620,4.4,2.0,,,,,,,,
30,3/27/2024,10:25,CS MA,62.3639,146.0676,"Tube 3""",Y,Jigging,388,428,1.1,0.5,,,,,,,,
31,3/27/2024,10:30,CS MA,62.3639,146.0676,"Twister 3"", 3/8 oz",Y,Deadstick,519,565,2.4,1.1,,,,,,,,
32,3/27/2024,10:44,CS MA,62.3639,146.0676,"Twister 3"", 3/8 oz",Y,Deadstick,464,510,1.9,0.9,,,,,,,,
33,3/27/2024,11:35,CS MA,62.3639,146.0676,"Rattle bait 2.5""",N,Jigging,489,538,2.3,1.0,,,,,,,,
34,3/27/2024,14:20,CS MA,62.3639,146.0676,"Tube 3""",Y,Deadstick,588,635,3.9,1.8,,,,,,,,
35,3/27/2024,16:05,CS MA,62.3639,146.0676,"Twister 3"", 3/8 oz",Y,Deadstick,576,629,3.7,1.7,,,,,,,,
36,3/27/2024,11:30,CS MA,62.336,146.0203,"Twister 3"", 3/8 oz",Y,Deadstick,527,574,4.4,2.0,,,,,,,,
37,3/27/2024,15:00,CS MA,62.3715,146.0089,Bait only,Y,Deadstick,551,607,4.0,1.8,,,,,,,,
38,3/28/2024,10:20,CS MA,62.36931,146.06758,"Rattle bait 2.5""",N,Jigging,461,509,1.7,0.8,,,,,,,,
39,3/28/2024,10:34,CS MA,62.36931,146.06758,"Rattle bait 2.5""",N,Jigging,485,541,2.3,1.0,,,,,,,,
40,3/28/2024,17:50,CS MA,62.384,146.023,"Twister 3"", 3/8 oz",Y,Jigging,521,578,3.3,1.5,,,,,,,,
41,3/28/2024,19:09,CS MA,62.384,146.023,"Twister 3"", 3/8 oz",Y,Jigging,698,752,7.7,3.5,,,,,,,,
42,3/22/2024,11:45,JS BC,62.34465,145.98671,Call Bait,N,Jigging,508,563,2.2,1.0,,,,,,,,
43,3/23/2024,12:45,JS BC,62.30472,146.004,Tube White,Y,Jigging,670,737,7.1,3.2,,,,,,,,
44,3/23/2024,14:28,JS BC,62.30477,146.00117,Tube White/red head,Y,Jigging,795,870,14.3,6.5,,,,,,,,
45,3/23/2024,16:51,JS BC,62.34211,145.98677,Tube,Y,Jigging,616,675,5.1,2.3,,,,,,,,
46,3/24/2024,11:34,JS BC,62.3245,145.99934,Tube White,Y,Jigging,560,621,3.7,1.7,,,,,,,,
47,3/24/2024,12:21,JS BC,62.3062,146.00253,Tube Glo,Y,Tipup,537,575,3.3,1.5,,,,,,,,
48,3/24/2024,14:11,JS BC,62.29937,146.02563,Tube White/red head,Y,Deadstick,740,790,9.9,4.5,,,,,,,,
49,3/24/2024,14:15,JS BC,62.29937,146.02563,Tube White/red head,Y,Deadstick,665,710,6.8,3.1,,,,,,,,
50,3/24/2024,14:39,JS BC,62.29937,146.02563,Paddle Tail White,Y,Jigging,688,757,7.9,3.6,,,,,,,,
51,3/24/2024,14:45,JS BC,62.29937,146.02563,Tube White,Y,Jigging,752,820,10.6,4.8,,,,,,,,
52,3/25/2024,9:00,JS BC,62.29937,146.02563,Paddle Tail White,Y,Jigging,630,685,5.3,2.4,,,,,,,,
53,3/25/2024,9:01,JS BC,62.29937,146.02563,Paddle Tail White,Y,Jigging,576,633,2.6,1.2,,,,,,,,
54,3/25/2024,9:10,JS BC,62.29937,146.02563,"Paddle tail White 3""",Y,Deadstick,787,823,7.1,3.2,,,,,,,,
55,3/25/2024,9:17,JS BC,62.29937,146.02563,Tube White/red head,Y,Deadstick,610,658,6.0,2.7,,,,,,,,
56,3/25/2024,10:23,JS BC,62.29937,146.02563,Tube White/red head,Y,Deadstick,530,580,2.9,1.3,,,,,,,,
57,3/25/2024,11:15,JS BC,62.29937,146.02563,Paddle Tail White,Y,Jigging,650,673,6.2,2.8,,,,,,,,
58,3/25/2024,11:38,JS BC,62.29937,146.02563,Hootchie Pink,Y,Deadstick,667,721,5.1,2.3,,,,,,,,
59,3/25/2024,12:52,JS BC,62.29937,146.02563,Paddle Tail White,Y,Jigging,795,863,11.5,5.2,,,,,,,,
60,3/25/2024,13:01,JS BC,62.29937,146.02563,Tube White/red head,Y,Deadstick,671,734,6.8,3.1,,,,,,,,
61,3/27/2024,10:35,JS BC,62.30096,146.0442,Paddle Tail White,Y,Deadstick,571,618,4.0,1.8,,,,,,,,
62,3/27/2024,10:45,JS BC,62.30096,146.0442,Tube White/red head,Y,Deadstick,698,756,9.3,4.2,,,,,,,,
63,3/27/2024,11:21,JS BC,62.30096,146.0442,"Tube Goldie 3""",Y,Deadstick,760,821,11.9,5.4,,,,,,,,
64,3/27/2024,11:42,JS BC,62.30096,146.0442,Tube White/red head,Y,Deadstick,640,692,7.1,3.2,,,,,,,,
65,3/27/2024,12:37,JS BC,62.30096,146.0442,Tube White,Y,Deadstick,642,695,6.8,3.1,,,,,,,,
66,3/27/2024,12:50,JS BC,62.30096,146.0442,Fin Fish Cabelas,Y,Deadstick,625,691,5.1,2.3,,,,,,,,
67,3/27/2024,12:54,JS BC,62.30096,146.0442,"Tube Goldie 3""",Y,Deadstick,570,630,5.1,2.3,,,,,,,,
68,3/27/2024,15:06,JS BC,62.30096,146.0442,Paddle Tail White,Y,Jigging,802,869,11.0,5.0,,,,,,,,
69,3/27/2024,16:53,JS BC,62.29924,146.02707,Tube White,Y,Deadstick,715,780,9.5,4.3,,,,,,,,
70,3/27/2024,16:06,JS BC,62.29924,146.02707,Paddle Tail White,Y,Deadstick,770,850,13.2,6.0,,,,,,,,
71,3/27/2024,18:30,JS BC,62.29924,146.02707,Tube White,Y,Deadstick,623,677,4.6,2.1,,,,,,,,
72,3/28/2024,11:16,JS BC,62.38234,146.01581,Tube White,Y,Deadstick,655,710,6.4,2.9,,,,,,,,
73,3/28/2024,11:25,JS BC,62.38234,146.01581,Rattle bait,N,Jigging,493,540,2.9,1.3,,,,,,,,
74,3/28/2024,15:39,JS BC,62.39898,146.00854,Tube White,Y,Deadstick,585,632,6.0,2.7,,,,,,,,
75,3/22/2024,11:31,"AB, JS, LG",62.38312,146.06142,Tube White,Y,Deadstick,520,571,2.4,1.1,,,,,,,,
76,3/22/2024,16:00,"AB, JS, LG",62.3767,146.06142,Tube White w/spinner,Y,Jigging,445,495,1.9,0.9,,,,,,,,
77,3/23/2024,10:57,"AB, JS, LG",62.3062,145.99819,"Tube White 4""",Y,Deadstick,411,452,1.6,0.7,,,,,,,,
78,3/23/2024,11:06,"AB, JS, LG",62.3062,145.99819,"Tube White 4""",Y,Deadstick,676,736,7.8,3.5,,,,,,,,
79,3/23/2024,11:39,"AB, JS, LG",62.30639,145.99827,Tube White,Y,Deadstick,723,785,8.9,4.0,,,,,,,,
